ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo
2004;1;RO;Resid;258610;44271
2004;1;AC;Resid;103396;15778.1
2004;1;AM;Resid;480619;84473
2004;1;RR;Resid;66138;15606.6
2004;1;PA;Resid;1049108;141170.7
2004;1;AP;Resid;102074;21780
2004;1;TO;Resid;232464;25505.3
2004;1;MA;Resid;979489;88613
2004;1;PI;Resid;579441;55791
2004;1;CE;Resid;1724128;165168
2004;1;RN;Resid;704810;80257.9
2004;1;PB;Resid;820807;78698.2
2004;1;AL;Resid;577321;59273
2004;1;SE;Resid;467718;47598.8
2004;1;BA;Resid;3011623;294797.5
2004;1;MG;Resid;5050859;628873.7
2004;1;ES;Resid;811450;117209.9
2004;1;RJ;Resid;4900324;873761.2
2004;1;SP;Resid;11535305;2074540.9
2004;1;PR;Resid;2516268;389147.1
2004;1;SC;Resid;1489810;286688.7
2004;1;RS;Resid;2756426;456670.2
2004;1;MS;Resid;535977;87676.4
2004;1;MT;Resid;577274;105341.1
2004;1;GO;Resid;1526158;199039
2004;1;DF;Resid;570609;114484
2004;2;RO;Resid;259356;41823
2004;2;AC;Resid;104254;14807.6
2004;2;AM;Resid;482146;79776.7
2004;2;RR;Resid;66247;14793
2004;2;PA;Resid;1130826;133722.2
2004;2;AP;Resid;74507;14494
2004;2;TO;Resid;233251;23986.2
2004;2;MA;Resid;984691;81144
2004;2;PI;Resid;581075;46649
2004;2;CE;Resid;1729895;148543.7
2004;2;RN;Resid;706526;69742
2004;2;PB;Resid;824164;68827.4
2004;2;AL;Resid;578654;54516
2004;2;SE;Resid;468646;43054.3
2004;2;BA;Resid;3022800;269980.3
2004;2;MG;Resid;5068885;547149.8
2004;2;ES;Resid;815099;110618
2004;2;RJ;Resid;4914953;873118.3
2004;2;SP;Resid;11582374;1980655.1
2004;2;PR;Resid;2521011;390487
2004;2;SC;Resid;1494649;275576.2
2004;2;RS;Resid;2764167;455907.3
2004;2;MS;Resid;537574;83455
2004;2;MT;Resid;574903;95490.6
2004;2;GO;Resid;1530999;187318
2004;2;DF;Resid;573696;105839
2004;3;RO;Resid;259487;40309
2004;3;AC;Resid;105188;14970.2
2004;3;AM;Resid;483838;75028
2004;3;RR;Resid;66416;14460.5
2004;3;PA;Resid;1060932;129019.6
2004;3;AP;Resid;131581;21722
2004;3;TO;Resid;234489;24727.9
2004;3;MA;Resid;986506;84537
2004;3;PI;Resid;582438;48151
2004;3;CE;Resid;1812176;163812.7
2004;3;RN;Resid;709012;75822.9
2004;3;PB;Resid;825783;74707.1
2004;3;AL;Resid;578928;55042
2004;3;SE;Resid;461002;45581.4
2004;3;BA;Resid;3046866;276717
2004;3;MG;Resid;5089243;609944.1
2004;3;ES;Resid;817460;114342
2004;3;RJ;Resid;4933730;846841.2
2004;3;SP;Resid;11644244;2058328.1
2004;3;PR;Resid;2525880;375715.5
2004;3;SC;Resid;1498867;278745
2004;3;RS;Resid;2771476;453566.8
2004;3;MS;Resid;539112;83723.2
2004;3;MT;Resid;577124;102377.7
2004;3;GO;Resid;1534634;189405
2004;3;DF;Resid;579185;117675
2004;4;RO;Resid;261722;41622
2004;4;AC;Resid;105510;15545.5
2004;4;AM;Resid;484639;75997.2
2004;4;RR;Resid;66021;15416.9
2004;4;PA;Resid;1147567;145309.3
2004;4;AP;Resid;103528;18904
2004;4;TO;Resid;235368;26979.9
2004;4;MA;Resid;989783;87326
2004;4;PI;Resid;584147;50927
2004;4;CE;Resid;1838138;177212.4
2004;4;RN;Resid;710196;79305.2
2004;4;PB;Resid;827986;75635.4
2004;4;AL;Resid;580636;56082
2004;4;SE;Resid;471739;47776.6
2004;4;BA;Resid;3049771;290815.5
2004;4;MG;Resid;5097879;583130.8
2004;4;ES;Resid;816400;109482.1
2004;4;RJ;Resid;4953375;871607.6
2004;4;SP;Resid;11643432;2169642.6
2004;4;PR;Resid;2531905;388594.8
2004;4;SC;Resid;1502427;272840
2004;4;RS;Resid;2774172;470612.3
2004;4;MS;Resid;540428;83830.6
2004;4;MT;Resid;579237;107596.3
2004;4;GO;Resid;1539636;196833
2004;4;DF;Resid;582270;117811
2004;5;RO;Resid;262546;42819.8
2004;5;AC;Resid;106209;14715
2004;5;AM;Resid;486060;79165
2004;5;RR;Resid;66847;13129.9
2004;5;PA;Resid;1069625;137324.5
2004;5;AP;Resid;103653;18143
2004;5;TO;Resid;236041;26857.7
2004;5;MA;Resid;990486;87117.4
2004;5;PI;Resid;585357;50865
2004;5;CE;Resid;1840518;156118
2004;5;RN;Resid;711682;75219.4
2004;5;PB;Resid;830305;71575.2
2004;5;AL;Resid;581668;55113
2004;5;SE;Resid;473159;44329.9
2004;5;BA;Resid;3062606;282303.5
2004;5;MG;Resid;5099210;570943.1
2004;5;ES;Resid;815215;105932.2
2004;5;RJ;Resid;4964375;819331.7
2004;5;SP;Resid;11646947;2041061.7
2004;5;PR;Resid;2526452;376169.5
2004;5;SC;Resid;1506755;259748.7
2004;5;RS;Resid;2775499;446184.4
2004;5;MS;Resid;540080;81837.2
2004;5;MT;Resid;581340;95553.1
2004;5;GO;Resid;1543648;192957
2004;5;DF;Resid;587409;122461
2004;6;RO;Resid;263582;39615.5
2004;6;AC;Resid;106406;13651
2004;6;AM;Resid;486880;76363
2004;6;RR;Resid;67162;13541.4
2004;6;PA;Resid;1077697;141204.6
2004;6;AP;Resid;103861;19502
2004;6;TO;Resid;237799;28211.8
2004;6;MA;Resid;991177;86473
2004;6;PI;Resid;587485;49478
2004;6;CE;Resid;1843602;161970
2004;6;RN;Resid;713730;73742.1
2004;6;PB;Resid;831406;69427.2
2004;6;AL;Resid;581392;54880
2004;6;SE;Resid;474657;42832.1
2004;6;BA;Resid;3073834;265517.5
2004;6;MG;Resid;5100084;569760.7
2004;6;ES;Resid;816526;97920
2004;6;RJ;Resid;4984685;726377.4
2004;6;SP;Resid;11672620;2039384.4
2004;6;PR;Resid;2539584;380972.4
2004;6;SC;Resid;1510579;249890.5
2004;6;RS;Resid;2778318;425987.2
